mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
177.06,5650530,187.061183,187.061197,0.014,0.076,C8 H11 O5      ,8,11,0,5,0,
-1000.00,2076539,187.097642,187.097583,-0.060,-0.319,C9 H15 O4      ,9,15,0,4,0,
-1000.00,2376965,188.038607,188.038688,0.080,0.427,C7 H10 N O3 S  ,7,10,1,3,1,
-1000.00,3021237,189.022720,189.022703,-0.016,-0.086,C7 H9 O4 S     ,7,9,0,4,1,
-1000.00,1993422,189.059060,189.059089,0.029,0.151,C8 H13 O3 S    ,8,13,0,3,1,
-1000.00,3790811,189.076860,189.076847,-0.013,-0.066,C8 H13 O5      ,8,13,0,5,0,
-1000.00,1993326,190.010653,190.010558,-0.094,-0.496,C4 H4 N3 O6    ,4,4,3,6,0,
684.92,2041496,190.069628,190.069594,-0.034,-0.179,C11 H12 N S    ,11,12,1,0,1,
-1000.00,2298673,191.001964,191.001968,0.004,0.019,C6 H7 O5 S     ,6,7,0,5,1,
-1000.00,2934345,191.035050,191.034982,-0.067,-0.352,C10 H7 O4      ,10,7,0,4,0,
-1000.00,2798417,191.046239,191.046216,-0.023,-0.122,C9 H7 N2 O3    ,9,7,2,3,0,
-1000.00,3521379,191.071453,191.071368,-0.085,-0.444,C11 H11 O3     ,11,11,0,3,0,
404.61,2536497,192.066689,192.066617,-0.072,-0.375,C10 H10 N O3   ,10,10,1,3,0,
582.02,2156352,192.087829,192.087746,-0.083,-0.434,C7 H14 N O5    ,7,14,1,5,0,
541.90,2023747,192.971301,192.971336,0.035,0.184,C7 H N2 O3 S   ,7,1,2,3,1,
602.63,4950270,193.050636,193.050632,-0.004,-0.021,C10 H9 O4      ,10,9,0,4,0,
-1000.00,2434310,193.061926,193.061866,-0.060,-0.310,C9 H9 N2 O3    ,9,9,2,3,0,
500.02,2664728,193.087060,193.087018,-0.042,-0.219,C11 H13 O3     ,11,13,0,3,0,
-1000.00,2399654,193.976572,193.976481,-0.090,-0.466,C4 H4 N O6 S   ,4,4,1,6,1,
522.04,6775769,194.045885,194.045881,-0.004,-0.020,C9 H8 N O4     ,9,8,1,4,0,
-1000.00,5058548,194.082281,194.082267,-0.014,-0.074,C10 H12 N O3   ,10,12,1,3,0,
-1000.00,2350607,194.118624,194.118652,0.029,0.148,C11 H16 N O2   ,11,16,1,2,0,
-1000.00,4399795,195.029889,195.029897,0.008,0.038,C9 H7 O5       ,9,7,0,5,0,
222.57,6458062,195.066302,195.066282,-0.020,-0.103,C10 H11 O4     ,10,11,0,4,0,
316.08,3688151,195.077586,195.077516,-0.070,-0.358,C9 H11 N2 O3   ,9,11,2,3,0,
-1000.00,3446505,195.102669,195.102668,-0.001,-0.007,C11 H15 O3     ,11,15,0,3,0,
434.62,3281820,196.025188,196.025146,-0.042,-0.217,C8 H6 N O5     ,8,6,1,5,0,
68.92,10527159,196.061539,196.061531,-0.008,-0.040,C9 H10 N O4    ,9,10,1,4,0,
501.07,2102739,196.097915,196.097917,0.002,0.010,C10 H14 N O3   ,10,14,1,3,0,
164.46,5960863,197.045553,197.045547,-0.006,-0.028,C9 H9 O5       ,9,9,0,5,0,
731.36,2563751,197.056817,197.056780,-0.037,-0.186,C8 H9 N2 O4    ,8,9,2,4,0,
55.57,11488442,197.081955,197.081932,-0.022,-0.112,C10 H13 O4     ,10,13,0,4,0,
-1000.00,2518230,197.118292,197.118318,0.026,0.130,C11 H17 O3     ,11,17,0,3,0,
517.91,2419076,198.019540,198.019667,0.127,0.640,C11 H4 N O3    ,11,4,1,3,0,
684.00,4535701,198.040833,198.040796,-0.037,-0.189,C8 H8 N O5     ,8,8,1,5,0,
