mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
273.49,20439326,296.113977,296.113961,-0.016,-0.054,C14 H18 N O6   ,14,18,1,6,0,
176.40,36528424,296.125204,296.125194,-0.010,-0.033,C13 H18 N3 O5  ,13,18,3,5,0,
716.17,2568515,296.161532,296.161580,0.048,0.161,C14 H22 N3 O4  ,14,22,3,4,0,
238.26,8215505,297.007431,297.007447,0.016,0.055,C12 H9 O7 S    ,12,9,0,7,1,
749.45,4654050,297.028612,297.028577,-0.036,-0.120,C9 H13 O9 S    ,9,13,0,9,1,
46.81,27911150,297.043848,297.043833,-0.016,-0.053,C13 H13 O6 S   ,13,13,0,6,1,
644.47,7807990,297.055067,297.055066,-0.001,-0.005,C12 H13 N2 O5 S,12,13,2,5,1,
82.52,62465020,297.061564,297.061591,0.027,0.092,C13 H13 O8     ,13,13,0,8,0,
736.78,20530180,297.072859,297.072824,-0.035,-0.118,C12 H13 N2 O7  ,12,13,2,7,0,
6.38,375481344,297.080239,297.080218,-0.020,-0.069,C14 H17 O5 S   ,14,17,0,5,1,
36.98,112387096,297.097971,297.097976,0.006,0.019,C14 H17 O7     ,14,17,0,7,0,
685.42,38487072,297.109232,297.109210,-0.022,-0.075,C13 H17 N2 O6  ,13,17,2,6,0,
672.05,5837859,297.113206,297.113233,0.027,0.091,C18 H17 O4     ,18,17,0,4,0,
14.41,94790704,297.134375,297.134362,-0.013,-0.043,C15 H21 O6     ,15,21,0,6,0,
742.00,9063484,297.145589,297.145595,0.006,0.022,C14 H21 N2 O5  ,14,21,2,5,0,
561.10,40084544,297.152968,297.152989,0.021,0.071,C16 H25 O3 S   ,16,25,0,3,1,
16.27,22414416,297.170762,297.170747,-0.014,-0.048,C16 H25 O5     ,16,25,0,5,0,
570.70,15075055,298.039099,298.039082,-0.017,-0.058,C12 H12 N O6 S ,12,12,1,6,1,
623.53,24635132,298.056809,298.056840,0.031,0.103,C12 H12 N O8   ,12,12,1,8,0,
781.84,2847494,298.068097,298.068073,-0.023,-0.078,C11 H12 N3 O7  ,11,12,3,7,0,
788.05,6860553,298.072121,298.072096,-0.025,-0.083,C16 H12 N O5   ,16,12,1,5,0,
687.99,32991000,298.093215,298.093225,0.010,0.034,C13 H16 N O7   ,13,16,1,7,0,
