mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,5717091,197.045571,197.045547,-0.024,-0.121,C9 H9 O5       ,9,9,0,5,0,
721.58,2496812,197.056822,197.056780,-0.041,-0.209,C8 H9 N2 O4    ,8,9,2,4,0,
-1000.00,11317375,197.081965,197.081932,-0.032,-0.164,C10 H13 O4     ,10,13,0,4,0,
340.22,3015324,197.118340,197.118318,-0.022,-0.112,C11 H17 O3     ,11,17,0,3,0,
681.69,2475888,198.040779,198.040796,0.017,0.085,C8 H8 N O5     ,8,8,1,5,0,
-1000.00,3554701,198.077246,198.077181,-0.064,-0.325,C9 H12 N O4    ,9,12,1,4,0,
-1000.00,5557869,199.007073,199.007053,-0.019,-0.098,C8 H7 O4 S     ,8,7,0,4,1,
392.53,2659451,199.024889,199.024812,-0.078,-0.391,C8 H7 O6       ,8,7,0,6,0,
303.67,9825930,199.043446,199.043439,-0.007,-0.036,C9 H11 O3 S    ,9,11,0,3,1,
70.06,10249880,199.061241,199.061197,-0.044,-0.223,C9 H11 O5      ,9,11,0,5,0,
102.46,14010037,199.097629,199.097583,-0.046,-0.233,C10 H15 O4     ,10,15,0,4,0,
-1000.00,4515003,201.022694,201.022703,0.009,0.046,C8 H9 O4 S     ,8,9,0,4,1,
-1000.00,8491239,201.076887,201.076847,-0.040,-0.198,C9 H13 O5      ,9,13,0,5,0,
-1000.00,2091507,201.092181,201.092103,-0.078,-0.387,C13 H13 O2     ,13,13,0,2,0,
-1000.00,6187268,201.113262,201.113233,-0.030,-0.148,C10 H17 O4     ,10,17,0,4,0,
-1000.00,2916365,202.072159,202.072096,-0.063,-0.313,C8 H12 N O5    ,8,12,1,5,0,
-1000.00,4150063,203.056133,203.056112,-0.022,-0.106,C8 H11 O6      ,8,11,0,6,0,
-1000.00,2300219,203.071305,203.071368,0.062,0.308,C12 H11 O3     ,12,11,0,3,0,
-1000.00,3915597,203.092478,203.092497,0.019,0.092,C9 H15 O5      ,9,15,0,5,0,
-1000.00,2077273,203.107816,203.107753,-0.063,-0.310,C13 H15 O2     ,13,15,0,2,0,
