mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,3292373,1193.560059,1193.559020,-1.040,-0.871,C48 H93 N2 O29 S,48,93,2,29,1,
-1000.00,3391713,1195.986649,1195.986795,0.146,0.122,C66 H135 N2 O15,66,135,2,15,0,
-1000.00,3391713,1195.986649,1195.985900,-0.749,-0.626,C43 H26 N O38 S,43,26,1,38,1,
-1000.00,3391713,1195.986649,1195.987750,1.102,0.921,C31 H30 N3 O45 S,31,30,3,45,1,
-1000.00,3501737,1199.414087,1199.414798,0.711,0.593,C53 H71 N2 O29 ,53,71,2,29,0,
-1000.00,3501737,1199.414087,1199.412947,-1.139,-0.950,C65 H67 O22    ,65,67,0,22,0,
-1000.00,3501737,1199.414087,1199.415311,1.224,1.021,C40 H79 O40    ,40,79,0,40,0,
-1000.00,3501737,1199.414087,1199.412809,-1.278,-1.065,C44 H79 O35 S  ,44,79,0,35,1,
-1000.00,3766087,1199.780985,1199.780260,-0.725,-0.604,C36 H2 N O47   ,36,2,1,47,0,
-1000.00,3766087,1199.780985,1199.780174,-0.811,-0.676,C72 H111 O12 S ,72,111,0,12,1,
-1000.00,3766087,1199.780985,1199.780121,-0.863,-0.720,C15 H14 N O60 S,15,14,1,60,1,
-1000.00,3766087,1199.780985,1199.782024,1.039,0.866,C60 H115 N2 O19 S,60,115,2,19,1,
-1000.00,3766087,1199.780985,1199.782110,1.126,0.938,C24 H6 N3 O54  ,24,6,3,54,0,
-1000.00,3766087,1199.780985,1199.782163,1.178,0.982,C81 H103 N2 O6 ,81,103,2,6,0,
-1000.00,3418232,1209.768761,1209.768876,0.115,0.095,C57 H113 N2 O24,57,113,2,24,0,
-1000.00,3418232,1209.768761,1209.767981,-0.780,-0.645,C34 H4 N O47 S ,34,4,1,47,1,
-1000.00,3418232,1209.768761,1209.769831,1.071,0.885,C22 H8 N3 O54 S,22,8,3,54,1,
-1000.00,3418232,1209.768761,1209.769884,1.123,0.928,C79 H105 N2 O6 S,79,105,2,6,1,
-1000.00,3355088,1221.825638,1221.825548,-0.090,-0.073,C90 H109 S     ,90,109,0,0,1,
-1000.00,3355088,1221.825638,1221.825496,-0.142,-0.116,C33 H12 N O48 S,33,12,1,48,1,
-1000.00,3355088,1221.825638,1221.824540,-1.097,-0.898,C68 H117 O18   ,68,117,0,18,0,
-1000.00,3355088,1221.825638,1221.824488,-1.150,-0.941,C11 H20 N O66  ,11,20,1,66,0,
-1000.00,3677234,1225.372257,1225.372933,0.676,0.552,C57 H65 N2 O28 ,57,65,2,28,0,
-1000.00,3677234,1225.372257,1225.371083,-1.174,-0.958,C69 H61 O21    ,69,61,0,21,0,
-1000.00,3677234,1225.372257,1225.373446,1.189,0.971,C44 H73 O39    ,44,73,0,39,0,
-1000.00,3677234,1225.372257,1225.370944,-1.313,-1.071,C48 H73 O34 S  ,48,73,0,34,1,
-1000.00,3683654,1228.178895,1228.178786,-0.109,-0.088,C45 H50 N O37 S,45,50,1,37,1,
-1000.00,3683654,1228.178895,1228.178273,-0.622,-0.506,C58 H42 N3 O26 S,58,42,3,26,1,
-1000.00,3683654,1228.178895,1228.177831,-1.064,-0.866,C80 H155 O7    ,80,155,0,7,0,
-1000.00,3401483,1240.070455,1240.069630,-0.826,-0.666,C43 H38 N O40 S,43,38,1,40,1,
-1000.00,3401483,1240.070455,1240.071480,1.025,0.826,C31 H42 N3 O47 S,31,42,3,47,1,
-1000.00,3401483,1240.070455,1240.071619,1.163,0.938,C52 H30 N3 O34 ,52,30,3,34,0,
-1000.00,3475348,1244.685592,1244.685600,0.008,0.006,C55 H106 N O29 ,55,106,1,29,0,
-1000.00,3475348,1244.685592,1244.685087,-0.505,-0.406,C68 H98 N3 O18 ,68,98,3,18,0,
-1000.00,3475348,1244.685592,1244.686555,0.963,0.774,C20 H N2 O59 S ,20,1,2,59,1,
-1000.00,3475348,1244.685592,1244.686608,1.015,0.816,C77 H98 N O11 S,77,98,1,11,1,
-1000.00,3925326,1245.617376,1245.617461,0.085,0.068,C63 H93 N2 O23 ,63,93,2,23,0,
-1000.00,3925326,1245.617376,1245.617974,0.598,0.480,C50 H101 O34   ,50,101,0,34,0,
-1000.00,3707639,1252.958182,1252.958224,0.042,0.033,C36 H25 N2 O48 ,36,25,2,48,0,
-1000.00,3707639,1252.958182,1252.958138,-0.044,-0.035,C72 H134 N O13 S,72,134,1,13,1,
-1000.00,3707639,1252.958182,1252.958276,0.094,0.075,C93 H122 N     ,93,122,1,0,0,
-1000.00,3707639,1252.958182,1252.958737,0.555,0.443,C23 H33 O59    ,23,33,0,59,0,
-1000.00,3707639,1252.958182,1252.957625,-0.558,-0.445,C85 H126 N3 O2 S,85,126,3,2,1,
