mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,2007923,191.035034,191.034982,-0.051,-0.269,C10 H7 O4      ,10,7,0,4,0,
-1000.00,3366773,191.038364,191.038353,-0.010,-0.055,C7 H11 O4 S    ,7,11,0,4,1,
-1000.00,3687804,191.046249,191.046216,-0.033,-0.174,C9 H7 N2 O3    ,9,7,2,3,0,
552.65,2129242,191.987130,191.987321,0.190,0.992,C7 H2 N3 O2 S  ,7,2,3,2,1,
293.58,3326616,192.066692,192.066617,-0.075,-0.392,C10 H10 N O3   ,10,10,1,3,0,
-1000.00,2441090,193.014269,193.014247,-0.023,-0.117,C9 H5 O5       ,9,5,0,5,0,
623.24,4977567,193.050649,193.050632,-0.016,-0.084,C10 H9 O4      ,10,9,0,4,0,
-1000.00,2534332,193.087061,193.087018,-0.043,-0.222,C11 H13 O3     ,11,13,0,3,0,
437.56,2771390,193.090390,193.090389,-0.001,-0.007,C8 H17 O3 S    ,8,17,0,3,1,
552.33,5790390,194.045865,194.045881,0.017,0.085,C9 H8 N O4     ,9,8,1,4,0,
25.99,14492371,194.082297,194.082267,-0.031,-0.158,C10 H12 N O3   ,10,12,1,3,0,
-1000.00,4971979,195.029880,195.029897,0.017,0.089,C9 H7 O5       ,9,7,0,5,0,
610.83,3405268,195.041155,195.041130,-0.025,-0.126,C8 H7 N2 O4    ,8,7,2,4,0,
511.91,5219816,195.066267,195.066282,0.016,0.081,C10 H11 O4     ,10,11,0,4,0,
-1000.00,2151921,195.077561,195.077516,-0.046,-0.234,C9 H11 N2 O3   ,9,11,2,3,0,
-1000.00,2607621,195.102757,195.102668,-0.089,-0.456,C11 H15 O3     ,11,15,0,3,0,
-1000.00,2509602,195.139062,195.139053,-0.009,-0.045,C12 H19 O2     ,12,19,0,2,0,
489.68,3835119,196.025182,196.025146,-0.037,-0.187,C8 H6 N O5     ,8,6,1,5,0,
334.72,6425868,196.061573,196.061531,-0.042,-0.213,C9 H10 N O4    ,9,10,1,4,0,
-1000.00,3238186,196.097933,196.097917,-0.016,-0.081,C10 H14 N O3   ,10,14,1,3,0,
-1000.00,2170896,197.009203,197.009161,-0.041,-0.210,C8 H5 O6       ,8,5,0,6,0,
-1000.00,5317678,197.045544,197.045547,0.003,0.015,C9 H9 O5       ,9,9,0,5,0,
690.74,2986039,197.056839,197.056780,-0.059,-0.299,C8 H9 N2 O4    ,8,9,2,4,0,
167.45,8339532,197.081942,197.081932,-0.009,-0.047,C10 H13 O4     ,10,13,0,4,0,
-1000.00,2281557,197.093215,197.093166,-0.049,-0.250,C9 H13 N2 O3   ,9,13,2,3,0,
-1000.00,2323049,197.118407,197.118318,-0.089,-0.452,C11 H17 O3     ,11,17,0,3,0,
-1000.00,2412082,197.986623,197.986652,0.029,0.149,C7 H4 N O4 S   ,7,4,1,4,1,
733.67,5181279,198.040795,198.040796,0.001,0.003,C8 H8 N O5     ,8,8,1,5,0,
163.82,9234301,198.077196,198.077181,-0.014,-0.072,C9 H12 N O4    ,9,12,1,4,0,
54.17,12360318,199.007058,199.007053,-0.005,-0.024,C8 H7 O4 S     ,8,7,0,4,1,
-1000.00,3815564,199.024852,199.024812,-0.041,-0.204,C8 H7 O6       ,8,7,0,6,0,
702.99,2111126,199.035929,199.036045,0.116,0.584,C7 H7 N2 O5    ,7,7,2,5,0,
19.31,41845404,199.043452,199.043439,-0.013,-0.065,C9 H11 O3 S    ,9,11,0,3,1,
-1000.00,8568491,199.061218,199.061197,-0.021,-0.107,C9 H11 O5      ,9,11,0,5,0,
82.58,15182537,199.097612,199.097583,-0.029,-0.146,C10 H15 O4     ,10,15,0,4,0,
-1000.00,5088744,200.056480,200.056446,-0.034,-0.167,C8 H10 N O5    ,8,10,1,5,0,
-1000.00,3598854,200.092818,200.092832,0.014,0.069,C9 H14 N O4    ,9,14,1,4,0,
-1000.00,2067175,200.971068,200.971062,-0.006,-0.030,C3 H5 O8 S     ,3,5,0,8,1,
-1000.00,9591058,201.022711,201.022703,-0.008,-0.039,C8 H9 O4 S     ,8,9,0,4,1,
-1000.00,2110751,201.038010,201.037959,-0.051,-0.253,C12 H9 O S     ,12,9,0,1,1,
-1000.00,7180577,201.040495,201.040462,-0.033,-0.165,C8 H9 O6       ,8,9,0,6,0,
-1000.00,8492352,201.076872,201.076847,-0.025,-0.122,C9 H13 O5      ,9,13,0,5,0,
-1000.00,22235486,201.113253,201.113233,-0.020,-0.100,C10 H17 O4     ,10,17,0,4,0,
204.27,5243016,202.072091,202.072096,0.005,0.026,C8 H12 N O5    ,8,12,1,5,0,
-1000.00,2291367,202.108411,202.108482,0.071,0.350,C9 H16 N O4    ,9,16,1,4,0,
