mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,4989429,215.001992,215.001968,-0.024,-0.114,C8 H7 O5 S     ,8,7,0,5,1,
-1000.00,12665380,215.056137,215.056112,-0.025,-0.117,C9 H11 O6      ,9,11,0,6,0,
18.66,23974468,215.092503,215.092497,-0.006,-0.027,C10 H15 O5     ,10,15,0,5,0,
627.35,10406478,215.103734,215.103731,-0.004,-0.018,C9 H15 N2 O4   ,9,15,2,4,0,
-1000.00,9800292,215.128860,215.128883,0.023,0.105,C11 H19 O4     ,11,19,0,4,0,
333.45,3340155,216.033562,216.033602,0.040,0.185,C8 H10 N O4 S  ,8,10,1,4,1,
724.28,2098341,216.081655,216.081873,0.218,1.010,C16 H10 N      ,16,10,1,0,0,
226.44,5540266,216.087726,216.087746,0.020,0.093,C9 H14 N O5    ,9,14,1,5,0,
-1000.00,2131402,216.124144,216.124132,-0.012,-0.056,C10 H18 N O4   ,10,18,1,4,0,
-1000.00,3019706,216.981228,216.981232,0.004,0.019,C7 H5 O6 S     ,7,5,0,6,1,
-1000.00,4271322,217.017588,217.017618,0.030,0.139,C8 H9 O5 S     ,8,9,0,5,1,
687.79,2209015,217.050545,217.050632,0.088,0.404,C12 H9 O4      ,12,9,0,4,0,
666.81,2235642,217.053934,217.054003,0.070,0.321,C9 H13 O4 S    ,9,13,0,4,1,
-1000.00,10764553,217.071782,217.071762,-0.021,-0.095,C9 H13 O6      ,9,13,0,6,0,
63.28,18409770,217.108159,217.108147,-0.012,-0.054,C10 H17 O5     ,10,17,0,5,0,
-1000.00,4706121,217.144490,217.144533,0.043,0.196,C11 H21 O4     ,11,21,0,4,0,
-1000.00,2362438,218.012935,218.012867,-0.068,-0.311,C7 H8 N O5 S   ,7,8,1,5,1,
275.70,11148390,218.049232,218.049252,0.021,0.094,C8 H12 N O4 S  ,8,12,1,4,1,
12.27,52354200,218.103409,218.103396,-0.013,-0.059,C9 H16 N O5    ,9,16,1,5,0,
34.96,18587564,218.996887,218.996883,-0.005,-0.021,C7 H7 O6 S     ,7,7,0,6,1,
-1000.00,3736522,219.029922,219.029897,-0.025,-0.115,C11 H7 O5      ,11,7,0,5,0,
-1000.00,2812365,219.033265,219.033268,0.003,0.013,C8 H11 O5 S    ,8,11,0,5,1,
559.63,3723242,219.066268,219.066282,0.015,0.067,C12 H11 O4     ,12,11,0,4,0,
556.00,3303917,219.069751,219.069654,-0.097,-0.443,C9 H15 O4 S    ,9,15,0,4,1,
185.04,6525949,219.087403,219.087412,0.009,0.040,C9 H15 O6      ,9,15,0,6,0,
565.75,2394141,219.123806,219.123797,-0.009,-0.042,C10 H19 O5     ,10,19,0,5,0,
304.80,5577565,220.061549,220.061531,-0.018,-0.080,C11 H10 N O4   ,11,10,1,4,0,
486.58,3887456,220.064906,220.064903,-0.004,-0.016,C8 H14 N O4 S  ,8,14,1,4,1,
-1000.00,3154813,220.097928,220.097917,-0.011,-0.052,C12 H14 N O3   ,12,14,1,3,0,
-1000.00,2084521,221.009172,221.009161,-0.010,-0.046,C10 H5 O6      ,10,5,0,6,0,
-1000.00,2940588,221.012521,221.012533,0.012,0.055,C7 H9 O6 S     ,7,9,0,6,1,
498.44,2147271,221.043081,221.043045,-0.036,-0.161,C15 H9 S       ,15,9,0,0,1,
78.49,10593993,221.045558,221.045547,-0.011,-0.048,C11 H9 O5      ,11,9,0,5,0,
92.22,8832716,221.048957,221.048918,-0.039,-0.177,C8 H13 O5 S    ,8,13,0,5,1,
9.40,19711722,221.081931,221.081932,0.002,0.007,C12 H13 O4     ,12,13,0,4,0,
533.14,2296557,221.085280,221.085304,0.024,0.108,C9 H17 O4 S    ,9,17,0,4,1,
386.56,3136778,221.118257,221.118318,0.061,0.274,C13 H17 O3     ,13,17,0,3,0,
-1000.00,2935083,221.154719,221.154703,-0.015,-0.068,C14 H21 O2     ,14,21,0,2,0,
-1000.00,5183042,222.040814,222.040796,-0.019,-0.083,C10 H8 N O5    ,10,8,1,5,0,
403.80,2987589,222.044097,222.044167,0.070,0.314,C7 H12 N O5 S  ,7,12,1,5,1,
-1000.00,7133795,222.077231,222.077181,-0.050,-0.225,C11 H12 N O4   ,11,12,1,4,0,
346.82,2851460,222.113658,222.113567,-0.091,-0.411,C12 H16 N O3   ,12,16,1,3,0,
92.93,8789428,223.024816,223.024812,-0.005,-0.022,C10 H7 O6      ,10,7,0,6,0,
112.49,13202901,223.061179,223.061197,0.018,0.080,C11 H11 O5     ,11,11,0,5,0,
726.35,5024216,223.064589,223.064568,-0.020,-0.091,C8 H15 O5 S    ,8,15,0,5,1,
759.12,2200543,223.072602,223.072430,-0.172,-0.770,C10 H11 N2 O4  ,10,11,2,4,0,
-1000.00,12987893,223.097594,223.097583,-0.011,-0.051,C12 H15 O4     ,12,15,0,4,0,
-1000.00,5236246,223.134004,223.133968,-0.036,-0.162,C13 H19 O3     ,13,19,0,3,0,
622.96,10668371,224.056482,224.056446,-0.036,-0.162,C10 H10 N O5   ,10,10,1,5,0,
-1000.00,7340404,224.092853,224.092832,-0.021,-0.095,C11 H14 N O4   ,11,14,1,4,0,
-1000.00,8686761,225.004084,225.004076,-0.007,-0.033,C9 H5 O7       ,9,5,0,7,0,
-1000.00,8162506,225.040454,225.040462,0.008,0.034,C10 H9 O6      ,10,9,0,6,0,
-1000.00,15410410,225.076885,225.076847,-0.038,-0.169,C11 H13 O5     ,11,13,0,5,0,
-1000.00,3349742,225.080279,225.080218,-0.060,-0.268,C8 H17 O5 S    ,8,17,0,5,1,
695.06,5318901,225.088155,225.088080,-0.075,-0.331,C10 H13 N2 O4  ,10,13,2,4,0,
20.72,32699660,225.113241,225.113233,-0.009,-0.039,C12 H17 O4     ,12,17,0,4,0,
-1000.00,3293484,225.149557,225.149618,0.061,0.269,C13 H21 O3     ,13,21,0,3,0,
682.91,3811405,226.035724,226.035711,-0.013,-0.060,C9 H8 N O6     ,9,8,1,6,0,
