mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
527.65,2116637,186.077186,186.077181,-0.005,-0.027,C8 H12 N O4    ,8,12,1,4,0,
579.76,2004801,186.129009,186.128823,-0.186,-0.997,C13 H16 N      ,13,16,1,0,0,
-1000.00,5695145,187.007084,187.007053,-0.031,-0.165,C7 H7 O4 S     ,7,7,0,4,1,
-1000.00,3337398,187.024829,187.024812,-0.018,-0.096,C7 H7 O6       ,7,7,0,6,0,
144.38,8190671,187.061212,187.061197,-0.015,-0.081,C8 H11 O5      ,8,11,0,5,0,
-1000.00,6448873,187.097611,187.097583,-0.028,-0.150,C9 H15 O4      ,9,15,0,4,0,
250.51,3941250,188.035324,188.035317,-0.007,-0.040,C10 H6 N O3    ,10,6,1,3,0,
-1000.00,4556715,188.092821,188.092832,0.010,0.054,C8 H14 N O4    ,8,14,1,4,0,
100.27,13066349,189.076843,189.076847,0.004,0.022,C8 H13 O5      ,8,13,0,5,0,
553.06,2111202,189.945020,189.945181,0.161,0.849,C4 N O6 S      ,4,0,1,6,1,
222.13,5396272,190.050973,190.050967,-0.006,-0.031,C10 H8 N O3    ,10,8,1,3,0,
538.18,2148410,190.065375,190.065571,0.197,1.035,C6 H12 N3 O2 S ,6,12,3,2,1,
-1000.00,3165120,193.014284,193.014247,-0.037,-0.193,C9 H5 O5       ,9,5,0,5,0,
704.69,7749596,193.050641,193.050632,-0.009,-0.045,C10 H9 O4      ,10,9,0,4,0,
-1000.00,2598135,193.087037,193.087018,-0.019,-0.097,C11 H13 O3     ,11,13,0,3,0,
658.37,7923403,194.045859,194.045881,0.022,0.114,C9 H8 N O4     ,9,8,1,4,0,
-1000.00,2485734,194.082309,194.082267,-0.042,-0.217,C10 H12 N O3   ,10,12,1,3,0,
-1000.00,5681592,195.029889,195.029897,0.007,0.038,C9 H7 O5       ,9,7,0,5,0,
224.69,6104532,195.066274,195.066282,0.008,0.041,C10 H11 O4     ,10,11,0,4,0,
-1000.00,4121072,195.102705,195.102668,-0.037,-0.188,C11 H15 O3     ,11,15,0,3,0,
-1000.00,3388597,196.025169,196.025146,-0.023,-0.120,C8 H6 N O5     ,8,6,1,5,0,
547.69,4139729,196.061567,196.061531,-0.035,-0.181,C9 H10 N O4    ,9,10,1,4,0,
-1000.00,2011657,196.134335,196.134302,-0.033,-0.167,C11 H18 N O2   ,11,18,1,2,0,
-1000.00,5286831,197.009177,197.009161,-0.016,-0.081,C8 H5 O6       ,8,5,0,6,0,
-1000.00,10256331,197.045551,197.045547,-0.004,-0.020,C9 H9 O5       ,9,9,0,5,0,
101.76,10924008,197.081951,197.081932,-0.019,-0.095,C10 H13 O4     ,10,13,0,4,0,
774.50,2857430,198.040767,198.040796,0.029,0.148,C8 H8 N O5     ,8,8,1,5,0,
-1000.00,3789042,198.077290,198.077181,-0.109,-0.549,C9 H12 N O4    ,9,12,1,4,0,
-1000.00,14175695,199.007051,199.007053,0.003,0.013,C8 H7 O4 S     ,8,7,0,4,1,
4.01,136814064,199.043451,199.043439,-0.012,-0.060,C9 H11 O3 S    ,9,11,0,3,1,
-1000.00,7693818,199.061211,199.061197,-0.014,-0.072,C9 H11 O5      ,9,11,0,5,0,
19.19,25312790,199.097620,199.097583,-0.038,-0.190,C10 H15 O4     ,10,15,0,4,0,
-1000.00,2263269,200.002303,200.002302,-0.001,-0.003,C7 H6 N O4 S   ,7,6,1,4,1,
-1000.00,4563217,200.056478,200.056446,-0.032,-0.162,C8 H10 N O5    ,8,10,1,5,0,
553.34,2103801,200.986391,200.986318,-0.074,-0.366,C7 H5 O5 S     ,7,5,0,5,1,
-1000.00,4724758,201.022714,201.022703,-0.011,-0.055,C8 H9 O4 S     ,8,9,0,4,1,
-1000.00,6001701,201.040475,201.040462,-0.013,-0.067,C8 H9 O6       ,8,9,0,6,0,
-1000.00,10486850,201.076872,201.076847,-0.025,-0.123,C9 H13 O5      ,9,13,0,5,0,
38.13,33408094,201.113255,201.113233,-0.022,-0.110,C10 H17 O4     ,10,17,0,4,0,
549.59,2161977,202.017983,202.017952,-0.031,-0.153,C7 H8 N O4 S   ,7,8,1,4,1,
617.72,2075475,202.050913,202.050967,0.054,0.265,C11 H8 N O3    ,11,8,1,3,0,
525.14,5308246,202.054371,202.054338,-0.033,-0.162,C8 H12 N O3 S  ,8,12,1,3,1,
327.40,4014436,202.072100,202.072096,-0.004,-0.022,C8 H12 N O5    ,8,12,1,5,0,
-1000.00,2267266,202.108389,202.108482,0.092,0.456,C9 H16 N O4    ,9,16,1,4,0,
-1000.00,4577368,203.001986,203.001968,-0.019,-0.091,C7 H7 O5 S     ,7,7,0,5,1,
565.78,2342515,203.034914,203.034982,0.068,0.337,C11 H7 O4      ,11,7,0,4,0,
-1000.00,6881954,203.092485,203.092497,0.012,0.060,C9 H15 O5      ,9,15,0,5,0,
-1000.00,6352575,203.128864,203.128883,0.019,0.091,C10 H19 O4     ,10,19,0,4,0,
-1000.00,3238817,204.030241,204.030231,-0.010,-0.050,C10 H6 N O4    ,10,6,1,4,0,
598.94,2797505,204.069953,204.069988,0.035,0.170,C8 H14 N O3 S  ,8,14,1,3,1,
138.79,7559344,204.981235,204.981232,-0.002,-0.010,C6 H5 O6 S     ,6,5,0,6,1,
-1000.00,4316393,205.050616,205.050632,0.017,0.082,C11 H9 O4      ,11,9,0,4,0,
615.88,3209452,205.053977,205.054003,0.027,0.130,C8 H13 O4 S    ,8,13,0,4,1,
419.51,2857210,205.071725,205.071762,0.037,0.180,C8 H13 O6      ,8,13,0,6,0,
-1000.00,4211975,205.087041,205.087018,-0.023,-0.113,C12 H13 O3     ,12,13,0,3,0,
6.16,59307040,206.045900,206.045881,-0.018,-0.090,C10 H8 N O4    ,10,8,1,4,0,
533.93,2163264,206.082335,206.082267,-0.069,-0.333,C11 H12 N O3   ,11,12,1,3,0,
-1000.00,2774331,206.996845,206.996883,0.038,0.184,C6 H7 O6 S     ,6,7,0,6,1,
584.47,4654920,207.012178,207.012139,-0.039,-0.191,C10 H7 O3 S    ,10,7,0,3,1,
