mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,2333388,190.050955,190.050967,0.012,0.061,C10 H8 N O3    ,10,8,1,3,0,
-1000.00,2181760,190.998540,190.998597,0.056,0.295,C9 H3 O5       ,9,3,0,5,0,
-1000.00,2905475,191.002007,191.001968,-0.039,-0.204,C6 H7 O5 S     ,6,7,0,5,1,
455.57,3502491,191.035017,191.034982,-0.035,-0.181,C10 H7 O4      ,10,7,0,4,0,
285.77,3660189,191.038389,191.038353,-0.035,-0.185,C7 H11 O4 S    ,7,11,0,4,1,
-1000.00,2129589,191.071325,191.071368,0.043,0.226,C11 H11 O3     ,11,11,0,3,0,
-1000.00,2466453,192.066592,192.066617,0.024,0.127,C10 H10 N O3   ,10,10,1,3,0,
671.97,5639539,193.050627,193.050632,0.005,0.027,C10 H9 O4      ,10,9,0,4,0,
-1000.00,4029326,193.086971,193.087018,0.047,0.242,C11 H13 O3     ,11,13,0,3,0,
-1000.00,3546000,193.090341,193.090389,0.048,0.249,C8 H17 O3 S    ,8,17,0,3,1,
-1000.00,2289985,194.005615,194.005473,-0.142,-0.733,C3 H4 N3 O7    ,3,4,3,7,0,
578.13,7982176,194.045884,194.045881,-0.002,-0.013,C9 H8 N O4     ,9,8,1,4,0,
340.60,3961979,194.082237,194.082267,0.030,0.154,C10 H12 N O3   ,10,12,1,3,0,
-1000.00,5956428,195.029887,195.029897,0.010,0.049,C9 H7 O5       ,9,7,0,5,0,
575.94,5429096,195.066285,195.066282,-0.002,-0.012,C10 H11 O4     ,10,11,0,4,0,
347.25,3325296,195.077550,195.077516,-0.034,-0.175,C9 H11 N2 O3   ,9,11,2,3,0,
-1000.00,3234691,195.102704,195.102668,-0.036,-0.184,C11 H15 O3     ,11,15,0,3,0,
-1000.00,2342815,195.139060,195.139053,-0.006,-0.033,C12 H19 O2     ,12,19,0,2,0,
503.67,2102853,196.022740,196.022644,-0.096,-0.489,C12 H6 N S     ,12,6,1,0,1,
360.79,3085383,196.025180,196.025146,-0.034,-0.173,C8 H6 N O5     ,8,6,1,5,0,
312.65,8610403,196.061568,196.061531,-0.036,-0.185,C9 H10 N O4    ,9,10,1,4,0,
-1000.00,4339839,196.097915,196.097917,0.002,0.011,C10 H14 N O3   ,10,14,1,3,0,
-1000.00,4031808,197.009162,197.009161,-0.001,-0.004,C8 H5 O6       ,8,5,0,6,0,
142.44,6965596,197.045572,197.045547,-0.025,-0.125,C9 H9 O5       ,9,9,0,5,0,
723.36,3038053,197.056796,197.056780,-0.016,-0.080,C8 H9 N2 O4    ,8,9,2,4,0,
34.14,12410232,197.081957,197.081932,-0.025,-0.125,C10 H13 O4     ,10,13,0,4,0,
551.46,2158363,197.946362,197.946244,-0.118,-0.598,C N3 O7 S      ,1,0,3,7,1,
537.35,2220631,198.023095,198.023038,-0.058,-0.292,C8 H8 N O3 S   ,8,8,1,3,1,
749.17,3806309,198.040804,198.040796,-0.008,-0.041,C8 H8 N O5     ,8,8,1,5,0,
714.10,3497587,198.059462,198.059423,-0.039,-0.196,C9 H12 N O2 S  ,9,12,1,2,1,
569.67,2039669,198.061889,198.061925,0.036,0.183,C5 H12 N O7    ,5,12,1,7,0,
-1000.00,6857857,198.077175,198.077181,0.006,0.030,C9 H12 N O4    ,9,12,1,4,0,
39.36,16669533,199.007061,199.007053,-0.007,-0.037,C8 H7 O4 S     ,8,7,0,4,1,
503.34,2148713,199.022144,199.022309,0.165,0.830,C12 H7 O S     ,12,7,0,1,1,
616.48,2683243,199.024809,199.024812,0.002,0.011,C8 H7 O6       ,8,7,0,6,0,
3.63,48208760,199.043450,199.043439,-0.011,-0.056,C9 H11 O3 S    ,9,11,0,3,1,
48.82,11436935,199.061214,199.061197,-0.017,-0.085,C9 H11 O5      ,9,11,0,5,0,
24.38,23116708,199.097606,199.097583,-0.024,-0.119,C10 H15 O4     ,10,15,0,4,0,
-1000.00,6046365,200.056487,200.056446,-0.041,-0.204,C8 H10 N O5    ,8,10,1,5,0,
-1000.00,3232954,200.092842,200.092832,-0.010,-0.050,C9 H14 N O4    ,9,14,1,4,0,
128.03,8349089,201.022714,201.022703,-0.011,-0.055,C8 H9 O4 S     ,8,9,0,4,1,
-1000.00,7758255,201.040469,201.040462,-0.008,-0.038,C8 H9 O6       ,8,9,0,6,0,
-1000.00,12513740,201.076873,201.076847,-0.026,-0.128,C9 H13 O5      ,9,13,0,5,0,
710.96,2137813,201.088193,201.088080,-0.112,-0.559,C8 H13 N2 O4   ,8,13,2,4,0,
11.52,20132330,201.113246,201.113233,-0.013,-0.065,C10 H17 O4     ,10,17,0,4,0,
258.49,3973870,202.072098,202.072096,-0.002,-0.009,C8 H12 N O5    ,8,12,1,5,0,
-1000.00,2096139,202.108511,202.108482,-0.029,-0.145,C9 H16 N O4    ,9,16,1,4,0,
-1000.00,3167200,203.002002,203.001968,-0.034,-0.166,C7 H7 O5 S     ,7,7,0,5,1,
581.98,2163686,203.009712,203.009830,0.118,0.581,C9 H3 N2 O4    ,9,3,2,4,0,
513.83,2314234,203.034933,203.034982,0.049,0.242,C11 H7 O4      ,11,7,0,4,0,
245.39,5198845,203.038379,203.038353,-0.025,-0.125,C8 H11 O4 S    ,8,11,0,4,1,
159.73,7437324,203.056133,203.056112,-0.021,-0.104,C8 H11 O6      ,8,11,0,6,0,
-1000.00,7792681,203.092476,203.092497,0.021,0.105,C9 H15 O5      ,9,15,0,5,0,
-1000.00,2073671,203.128941,203.128883,-0.058,-0.288,C10 H19 O4     ,10,19,0,4,0,
693.06,2094405,204.066530,204.066617,0.086,0.423,C11 H10 N O3   ,11,10,1,3,0,
-1000.00,2070831,204.973912,204.973839,-0.073,-0.357,C4 H N2 O8     ,4,1,2,8,0,
-1000.00,2561616,205.014248,205.014247,-0.001,-0.005,C10 H5 O5      ,10,5,0,5,0,
418.83,9375315,205.017651,205.017618,-0.033,-0.160,C7 H9 O5 S     ,7,9,0,5,1,
-1000.00,4579950,205.050656,205.050632,-0.024,-0.116,C11 H9 O4      ,11,9,0,4,0,
387.04,5941873,205.053991,205.054003,0.013,0.063,C8 H13 O4 S    ,8,13,0,4,1,
387.35,3073663,205.071762,205.071762,0.000,0.000,C8 H13 O6      ,8,13,0,6,0,
-1000.00,4507276,205.086989,205.087018,0.029,0.142,C12 H13 O3     ,12,13,0,3,0,
579.00,2177949,205.108125,205.108147,0.022,0.108,C9 H17 O5      ,9,17,0,5,0,
8.68,35017124,206.045895,206.045881,-0.013,-0.065,C10 H8 N O4    ,10,8,1,4,0,
529.64,2545604,206.082289,206.082267,-0.022,-0.106,C11 H12 N O3   ,11,12,1,3,0,
552.51,2222269,206.996882,206.996883,0.000,0.002,C6 H7 O6 S     ,6,7,0,6,1,
-1000.00,2320322,207.002111,207.002243,0.132,0.637,C12 H3 N2 S    ,12,3,2,0,1,
